CF (Correct Answer)	Input	Similarity value
rootmeansquarederror	derivitave	0
variable|random	variable	0.9121205
95	96	0
normal	variable	-0.01733265
density	variable	0.05984505
describes|is|represents	is	0.3004219
individual|single	variavle	0
standarddeviation	variable	0
standarddeviation	standard	0
sample	standard variable	0.2769502
variance	square root	0.1074117
different|far|variable	different	0.6180547
variance	sample	0.2941584
count	amount	0.1718728
equal	1	0
sample	sample	1
mean	mean	1
observations	numbers	-0.04742211
sample	control	-0.013139
95	95	0
describes|is|represents	is	0.3004219
range	difference	0.02140272
individual|single	sample	0.01109423
statistic	variable	0.1429316
variable|random	variable	0.9121205
observations	change	-0.06331724
different|far|variable	variable	0.7347568
99.7	95	0
standarddeviation	sample	0
probability|likelihood|chance	range	0.005119831
squared	[timeout]	0.03092544
subject|participant|participants	subject	0.9450604
range	area	0.01722806
subject|participant|participants	subject	0.9450604
squareroot	square root	0
squareroot	square root	0
squared	squared	1
subject|participant|participants	subject	0.9450604
multiple|many	[timeout]	0.05981871
99.7	99.7	0
statistic	value	0.09144314
statistic	statistic	1
squareroot	square root	0
subject|participant|participants	subject	0.9450604
normal	normal	1
variable|random	various	-0.01635183
squared	squared	1
95	68	0
statistic	statistic	1
subject|participant|participants	subject	0.9450604
95	95	0
squared	squared	1
95	95	0
95	95	0
standarderror	standard error	0
3	3	0
squareroot	square root	0
subject|participant|participants	subject	0.9450604
subject|participant|participants	subject	0.9450604
statistic	statistic	1
symmetric	symmetric	1
distribution	probability	0.1551336
normal	normal	1
likelihood|probability	likelihood	0.4928042
variable|random	variable	0.9121205
observations	observations	1
probability	likelihood	0.01039694
range|set	range	0.7634179
squared	squared	1
multiple|many	multiple	0.8556041
99.7	99.7	0
variable|random	variable	0.9121205
squared	squared	1
variance	[timeout]	-0.03662752
distribution	distribution	1
symmetric	symmetric	1
1|one	1	0
likelihood|probability	likelihood	0.4928042
measure|represent|describe	measure	0.7689974
3	3	0
sample	sample	1
distribution	distribution	1
range|set	range	0.7634179
normal	normal	1
3	3	0
observations	observations	1
standarddeviation	standard deviation	0
1|one	1	0
observations	observations	1
standarderror	standard error	0
observations	observations	1
squared	squared	1
probability|likelihood|chance	likelihood	0.3508941
statistic	distribution	0.05095213
units	unit	0.6995343
rootmeansquarederror	[timeout]	0
observations	observations	1
individual|single	[timeout]	-0.04643578
normal	normal	1
sample	sample	1
likelihood|probability	probability	0.8752168
participated	participate	0.2836498
68	66	0
symmetric	symmetric	1
count	number	0.2801012
observations	observations	1
statistic	statistic	1
95	95	0
variable|random	variable	0.9121205
squared	squared	1
likelihood|probability	likelihood	0.4928042
symmetric	symmetric	1
sample	sample	1
95	95	0
probability|likelihood|chance	probability	0.6468432
68	68	0
statistic	statistic	1
standarddeviation	standard deviation	0
sample	sample	1
normal	normal	1
characteristic	measure	-0.00407549
individual|single	individual	0.8333944
squared	squared	1
variable|random	variable	0.9121205
divided	divided	1
observations	observations	1
observations	observations	1
same	same	1
normal	normal	1
sample	sample	1
observations	observations	1
sample	sample	1
variable|random	variable	0.9121205
variability	standard deviation	-0.06004029
95	95	0
count	count	1
same	same	1
rootmeansquarederror	root mean error	0
statistic	statistic	1
individual|single	individual	0.8333944
symmetric	symmetric	1
squared	squared	1
participated	participated	1
observation	observation	1
68	68	0
likelihood|probability	likelihood	0.4928042
describes|is|represents	is	0.3004219
different|far|variable	[timeout]	0.05748892
individual|single	different	0.1370365
individual|single	individual	0.8333944
68	[timeout]	0
range|set	range	0.7634179
divided	divided	1
99.7	68	0
range|set	range	0.7634179
variable|random	different	0.0874528
standarddeviation	[timeout]	0
99.7	99.7	0
different|far|variable	different	0.6180547
68	68	0
standarddeviation	standard deviation	0
range|set	range	0.7634179
divided	divided	1
standarddeviation	standard deviation	0
range|set	range	0.7634179
variable|random	variable	0.9121205
68	68	0
describes|is|represents	is	0.3004219
99.7	97.3	0
divided	divided	1
range|set	range	0.7634179
68	68	0
range|set	range	0.7634179
count	amount	0.1718728
99.7	99.7	0
range|set	range	0.7634179
variance	[timeout]	-0.03662752
variable|random	variable	0.9121205
mean|samplemean|average	mean	0.6045831
dividing	[timeout]	-0.06684689
difference	[timeout]	0.04116857
normal	[timeout]	-0.007178908
expect	think	0.02681377
99.7	67	0
represents|describes|shows	shows	0.8075404
variance	[timeout]	-0.03662752
squared	squared	1
95	80	0
subject|participant|participants	subject	0.9450604
normal	normal	1
99.7	99.7	0
expect	expect	1
expect	expect	1
mean|samplemean|average	mean	0.6045831
distribution	variance	0.1301108
2	2	0
mean	mean	1
sample	mean	0.04083578
likelihood|probability	variance	-0.05099383
variable|random	variable	0.9121205
symmetric	symetric	0
99.7	99.7	0
sum	sum	1
symmetric	symetric	0
mean	mean	1
difference	difference	1
99.7	99.7	0
participated	participated	1
statistic	[timeout]	-0.02000074
subject|participant|participants	subject	0.9450604
different|far|variable	different	0.6180547
likelihood|probability	range	0.0691823
probability	chance	0.03151365
units	unit	0.6995343
density	mean	-0.02488231
individual|single	often	0.04336249
variance	mean	0.01016356
3	1	0
divided	[timeout]	0.09514323
95	95	0
difference	root	0.01133235
1|one	[timeout]	0.00668314
describes|is|represents	[timeout]	-0.07837661
normal	statistical	0.03909818
statistic	number	0.1059846
variable|random	[timeout]	0.08665657
variable|random	variable	0.9121205
statistic	statistic	1
mean	mean	1
likelihood|probability	density	0.1443129
dividing	dividing	1
variance	mean	0.01016356
probability	probability	1
probability|likelihood|chance	liklihood	0
different|far|variable	different	0.6180547
individual|single	different	0.1370365
units	units	1
statistic	statistic	1
range	range	1
describes|is|represents	is	0.3004219
normal	normal	1
95	95	0
subject|participant|participants	subject	0.9450604
divided	divided	1
statistic	statistic	1
variable|random	variable	0.9121205
standarddeviation	deviance	0
describes|is|represents	is	0.3004219
likelihood|probability	liklihood	0
divided	divided	1
normal	normal	1
95	95	0
statistic	statistic	1
difference	root	0.01133235
same	same	1
probability	probability	1
normal	normal	1
individual|single	individual	0.8333944
different|far|variable	variable	0.7347568
variance	diference	-0.1456109
density	density	1
subject|participant|participants	subject	0.9450604
population	data	-0.001768482
variable|random	different	0.0874528
range	range	1
density	[timeout]	0.007179775
variance	mean	0.01016356
mean	mean	1
probability|likelihood|chance	standard deviation	0.08015213
represent|describe|sample	represent	0.5618359
involves|uses|includes|observes	involves	0.6161347
variance	variance	1
variability	variance	0.09235277
variance	variance	1
normal	[timeout]	-0.007178908
population	population	1
samples	standard deviations	0.08591779
samplemean|mean	mean	1
variance	variance	1
samplemean|mean	mean	1
probability|likelihood|chance	probability	0.6468432
sample	sample	1
variance	variance	1
samplemean|mean	mean	1
range	variability	0.07581243
divided	divided	1
represents|describes|shows	changes	0.04118604
density	variability	0.1085139
represent|describe|sample	represent	0.5618359
subject|participant|participants	subjects	0.6036775
standarderror	variance	0
probability|likelihood|chance	[timeout]	0.04769977
normal	regular	0.02345955
variance	variance	1
observations	[timeout]	-0.119301
observations	observations	1
standarderror	standard error	0
observations	observations	1
range	range	1
variance	variance	1
observations	observations	1
range	range	1
observations	observations	1
observations	observations	1
same	population	-0.03980054
variance	variance	1
dividing	adding	-0.04662541
standarderror	standard error	0
95	90	0
observation	mean	0.07500567
same	same	1
probability|likelihood|chance	chance	0.6998413
variance	variance	1
observations	observations	1
same	same	1
characteristic	observation	0.0789936
same	same	1
standarderror	standard error	0
characteristic	characteristic	1
observations	observations	1
range	range	1
range	range	1
observations	objectives	-0.06718853
95	97	0
standarddeviation	variance	0
normal	normal	1
variability	variance	0.09235277
variance	variance	1
measure|represent|describe	categorize	0.08371633
dividing	dividing	1
variance	variance	1
represents|describes|shows	measures	0.0535334
involves|uses|includes|observes	population	0.04699085
probability|likelihood|chance	[timeout]	0.04769977
mean|samplemean|average	mean	0.6045831
range	range	1
range	range	1
characteristic	characteristic	1
standarderror	standard error	0
population	population	1
represents|describes|shows	represents	0.4684053
95	95	0
variance	variance	1
equal	equal	1
statistic	characteristic	-0.08826226
dividing	dividing	1
range	range	1
units	characteristics	0.007734522
range	range	1
mean	mean	1
sum	count	-0.01366364
involves|uses|includes|observes	involves	0.6161347
standarderror	standard error	0
characteristic	characteristic	1
probability|likelihood|chance	probability	0.6468432
population	population	1
variability	variability	1
observations	[timeout]	-0.119301
2	2	0
observations	observations	1
dividing	dividing	1
squared	[timeout]	0.03092544
count	range	-0.01143153
range	range	1
standarderror	standard error	0
characteristic	characteristic	1
mean	mean	1
involves|uses|includes|observes	involves	0.6161347
probability|likelihood|chance	probability	0.6468432
population	population	1
represents|describes|shows	represents	0.4684053
range	range	1
symmetric	normal	-0.03673305
variance	variance	1
standarddeviation	normal	0
statistic	statistic	1
mean	mean	1
represent|describe|sample	represent	0.5618359
observations	observables	0.07094451
characteristic	measure	-0.00407549
variance	deviation	9.478002E-05
characteristic	characteristic	1
sample	population	0.1951308
range	variance	0.006271204
dividing	basds	0
probability	[timeout]	0.1245291
dividing	gross	-0.002639531
represent|describe|sample	represent	0.5618359
probability	[timeout]	0.1245291
range|set	range range	0.7634179
dividing	dividing	1
represent|describe|sample	represent	0.5618359
dividing	dividing	1
mean	mean	1
represent|describe|sample	represent	0.5618359
observations	samples	0.04512589
range	range	1
variance	variance	1
range	range	1
sample	sample	1
dividing	dividing	1
mean	mean	1
dividing	dividing	1
dividing	dividing	1
range	range	1
density	variance	0.03799563
difference	difference	1
dividing	dividing	1
observations	observations	1
observations	observation	0.5227399
sum	sum	1
mean	mean	1
statistic	probability	0.1360118
range	range	1
variance	variance	1
standarderror	density	0
observations	observations	1
individual|single	multiple	0.07294563
variability	range	0.07581243
density	variation	0.01701305
multiple|many	individual	-0.01221216
range	range	1
1	1	0
standarddeviation	variability	0
standarddeviation	standard deviation	0
difference	difference	1
likelihood|probability	probability	0.8752168
variance	variance	1
range	range	1
range	range	1
99.7	95	0
sum	sum	1
likelihood|probability	probability	0.8752168
observations	observations	1
range	range	1
variability	variance	0.09235277
observations	observations	1
observation	observation	1
distribution	density	0.06024716
mean	mean	1
sum	sum	1
rootmeansquarederror	[timeout]	0
range	range	1
standarderror	variability	0
participated	involved	0.05603593
range	range	1
same	same	1
observations	observations	1
likelihood|probability	probability	0.8752168
probability	probability	1
samplemean|mean	mean	1
density	probability	0.1350914
range	range	1
statistic	observable	0.2926037
difference	difference	1
population	[timeout]	-0.03986163
dividing	dividing	1
observations	observations	1
probability	probability	1
count	sum	-0.01366364
observations	observations	1
likelihood|probability	probability	0.8752168
range|set	range	0.7634179
variable|random	independent	0.1655239
dividing	dividing	1
expect	find	-0.0003544023
standarderror	standard error	0
describes|is|represents	is	0.3004219
observations	observations	1
involves|uses|includes|observes	includes	0.6147089
range	range	1
range	range	1
difference	difference	1
rootmeansquarederror	root mean squared error	0
range	range	1
same	same	1
dividing	dividing	1
count	count	1
standarderror	standard error	0
rootmeansquarederror	variance	0
observations	observations	1
probability	probability	1
range	range	1
range	range	1
standarddeviation	standard deviation	0
statistic	value	0.09144314
describes|is|represents	is	0.3004219
variable|random	obtained	0.03939578
subject|participant|participants	subject	0.9450604
range	range	1
same	same	1
distribution	probability	0.1551336
difference	difference	1
observation	observation	1
range	[timeout]	0.003927464
probability|likelihood|chance	range	0.005119831
represent|describe|sample	estimate	0.08906266
range	range	1
probability|likelihood|chance	range	0.005119831
standarderror	deviation	0
sample	standard mean	0.1282429
range	range	1
same	[timeout]	-0.04236013
standarddeviation	2	0
range	range	1
probability|likelihood|chance	standard	0.03856479
probability|likelihood|chance	standard	0.03856479
standarderror	[timeout]	0
variable|random	variable	0.9121205
probability|likelihood|chance	probability	0.6468432
sample	sample	1
range	range	1
probability|likelihood|chance	probability	0.6468432
characteristic	percentage	-0.1352361
range	range	1
characteristic	characteristic	1
characteristic	characteristic	1
characteristic	characteristic	1
probability|likelihood|chance	probability	0.6468432
rootmeansquarederror	variable	0
range	range	1
probability|likelihood|chance	probability	0.6468432
samples	[timeout]	-0.02774676
range	range	1
observations	samples	0.04512589
probability	probability	1
squared	standard	0.06013192
normal	squared	0.06034777
standarderror	squared	0
variance	squared root mean variable	0.1973765
represent|describe|sample	represent	0.5618359
variance	root	0.02375058
symmetric	normal	-0.03673305
range	range	1
symmetric	symmetric	1
1|one	mean	0.02486994
variance	standard mean	0.04186213
standarderror	[timeout]	0
range	range	1
3	_1 1	0
dividing	adding	-0.04662541
equal	same	0.2438991
equal	equal	1
range	range	1
sum	total	0.2582886
statistic	standard mean	0.004228087
variable|random	different	0.0874528
dividing	dividing	1
range	range	1
samplemean|mean	standard deviation	0.1056104
symmetric	99.7	0
standarddeviation	standard variant	0
1|one	1	0
squared	squared	1
involves|uses|includes|observes	sample	0.07324035
multiple|many	individuals	-0.06717374
squareroot	square	0
equal	equal	1
variable|random	different	0.0874528
same	same	1
mean	standard mean	0.6395706
99.7	99.7	0
probability|likelihood|chance	probability	0.6468432
dividing	dividing	1
characteristic	standard mean	0.07738671
range	range	1
variability	standard variable	-0.0100089
represents|describes|shows	[timeout]	-0.07480666
divided	divided	1
observations	variability	0.1464305
range	range	1
observations	individuals	0.003411095
dividing	dividing	1
variance	standard	0.04679672
same	sample	0.06675031
variable|random	variable	0.9121205
probability|likelihood|chance	probability	0.6468432
mean	mean	1
divided	divided	1
standarddeviation	standard	0
range	range	1
characteristic	probability	0.1125766
normal	[timeout]	-0.007178908
range	range	1
multiple|many	individual	-0.01221216
observations	[timeout]	-0.119301
standarddeviation	mean	0
normal	normal	1
participated	participate	0.2836498
represents|describes|shows	[timeout]	-0.07480666
participated	participate	0.2836498
represents|describes|shows	[timeout]	-0.07480666
same	same	1
dividing	dividing	1
standarddeviation	standard mean	0
squared	standard	0.06013192
characteristic	characteristic	1
range	range	1
divided	divided	1
different|far|variable	different	0.6180547
standarddeviation	standard deviation	0
probability|likelihood|chance	probability	0.6468432
normal	normal	1
equal	equal	1
observations	symmetry	-0.01484824
standarddeviation	standard deviation	0
variable|random	variable	0.9121205
range	range	1
distribution	median	0.1714136
mean	[timeout]	-0.03138116
count	[timeout]	0.03134056
rootmeansquarederror	delta	0
count	count	1
3	1 and 3	0
observation	value	-0.04629001
participated	participate	0.2836498
rootmeansquarederror	root squared mean	0
observation	observation	1
measure|represent|describe	plot	0.08317
equal	equal	1
represent|describe|sample	represent	0.5618359
rootmeansquarederror	root mean squared error	0
rootmeansquarederror	root mean squared error	0
observation	observation	1
likelihood|probability	probability	0.8752168
participated	participate	0.2836498
equal	equal	1
observation	observation	1
observations	observation	0.5227399
mean	mean	1
3	3	0
participated	participate	0.2836498
equal	equal	1
equal	equal	1
represent|describe|sample	represent	0.5618359
participated	participate	0.2836498
observation	observation	1
range|set	range	0.7634179
observation	observation	1
95	99	0
95	95	0
statistic	number	0.1059846
dividing	adding	-0.04662541
expect	measure	-0.01068558
3	3	0
squared	average	0.09729064
equal	equal	1
variance	variance	1
represents|describes|shows	measures	0.0535334
represents|describes|shows	represents	0.4684053
represent|describe|sample	represent	0.5618359
2	2	0
normal	normal	1
statistic	range	0.01032877
equal	equal	1
range|set	range	0.7634179
samplemean|mean	mean	1
equal	equal	1
sample	mean	0.04083578
3	3	0
variance	variance	1
range	range	1
represents|describes|shows	represents	0.4684053
68	98	0
statistic	statistic	1
equal	equal	1
samples	observations	0.04512589
observations	range	0.00666871
represents|describes|shows	represents	0.4684053
2	3	0
individual|single	normal	0.001248968
variance	variance	1
likelihood|probability	probability	0.8752168
1	1	0
standarddeviation	[timeout]	0
sample	distribution	0.2488885
measure|represent|describe	record	0.08453678
99.7	95	0
participated	participate	0.2836498
variability	variance	0.09235277
observation	sample	0.07037972
1|one	the total	0.01960985
mean	mean	1
normal	normal	1
expect	measure	-0.01068558
variable|random	variable	0.9121205
mean|samplemean|average	mean	0.6045831
participated	participate	0.2836498
measure|represent|describe	measure	0.7689974
variance	variance	1
statistic	statistic	1
mean	mean	1
likelihood|probability	range	0.0691823
expect	measure	-0.01068558
1	1	0
individual|single	multiple	0.07294563
99.7	99.7	0
represent|describe|sample	represent	0.5618359
probability	likelihood	0.01039694
standarddeviation	standard deviation	0
sample	sample	1
1|one	1	0
observation	observation	1
sum	sum	1
2	3	0
difference	root	0.01133235
samples	samples	1
range	range	1
probability	probability	1
mean	mean	1
observation	observation	1
individual|single	individual	0.8333944
sample	sample	1
1	1	0
measure|represent|describe	measure	0.7689974
2	2	0
participated	participate	0.2836498
variance	variance	1
likelihood|probability	probability	0.8752168
1|one	1	0
expect	expect	1
statistic	statistic	1
divided	divided	1
observation	[timeout]	-0.1081844
normal	[timeout]	-0.007178908
symmetric	[timeout]	0.03159622
individual|single	[timeout]	-0.04643578
samples	statistics	0.128976
symmetric	standard	-0.006093372
variable|random	standard	0.01342529
statistic	value	0.09144314
2	90 100	0
statistic	number	0.1059846
normal	standard deviation	0.06305595
individual|single	normal	0.001248968
probability	standard deviation	0.0576607
samplemean|mean	mean	1
95	100	0
multiple|many	individual	-0.01221216
normal	standard	0.02859854
equal	90	0
normal	individual	0.09181165
variability	[timeout]	-0.1216482
3	1	0
range|set	[timeout]	-0.02050513
variable|random	different	0.0874528
probability	95	0
standarderror	normal	0
normal	normal	1
population	sample	0.1951308
probability	probability	1
statistic	attribute	0.1056103
represents|describes|shows	describes	0.5329534
normal	normal	1
probability	probability	1
units	tools	-0.06006117
mean|samplemean|average	standard deviation	0.1449034
multiple|many	many	0.5278553
units	units	1
range|set	group	0.08196838
normal	normal	1
mean|samplemean|average	mean	0.6045831
statistic	statistic	1
standarderror	standard error	0
variability	standard error	-0.01894593
units	units	1
normal	normal	1
mean|samplemean|average	mean	0.6045831
units	units	1
observation	variable	-0.01528538
units	units	1
involves|uses|includes|observes	uses	0.6675121
variance	median	-0.01878576
involves|uses|includes|observes	uses	0.6675121
standarddeviation	variance	0
distribution	variance	0.1301108
involves|uses|includes|observes	uses	0.6675121
units	units	1
variability	standard deviation	-0.06004029
units	units	1
variance	variance	1
mean|samplemean|average	mean	0.6045831
statistic	statistic	1
multiple|many	many	0.5278553
involves|uses|includes|observes	uses	0.6675121
distribution	observation	0.07676121
normal	normal	1
population	statistic	0.1401468
observations	numbers	-0.04742211
standarddeviation	standard deviation	0
sum	average	0.09272732
statistic	statistic	1
distribution	variance	0.1301108
squareroot	observation	0
variability	distribution	0.01659191
normal	normal	1
samplemean|mean	mean	1
units	units	1
range	variance	0.006271204
variance	distribution	0.1301108
density	variance	0.03799563
probability	standard deviation	0.0576607
participated	participatr	0
99.7	95	0
variance	[timeout]	-0.03662752
observations	variances	-0.01248936
observations	units	0.07269222
distribution	standard deviation	0.1277215
99.7	99.7	0
density	variance	0.03799563
probability	distribution	0.1551336
normal	normal	1
statistic	statistic	1
1	2	0
represent|describe|sample	[timeout]	-0.02292833
units	units	1
standarddeviation	standard error	0
variance	distribution	0.1301108
samplemean|mean	mean	1
count	total	0.1454826
subject|participant|participants	subjects	0.6036775
variance	distribution	0.1301108
variance	unit	0.06488631
represent|describe|sample	represent	0.5618359
statistic	statistic	1
variance	variance	1
rootmeansquarederror	standard error	0
range	range	1
standarddeviation	variance	0
sum	sum	1
distribution	distribution	1
units	units	1
samplemean|mean	mean	1
normal	normal	1
equal	[timeout]	-0.001709098
subject|participant|participants	subject	0.9450604
density	variance	0.03799563
observations	numbers	-0.04742211
observations	statistics	0.1044004
99.7	[timeout]	0
variance	distribution	0.1301108
standarderror	standard observation	0
multiple|many	standard error	0.06636655
observations	deviations	0.1251935
characteristic	variable	0.06214532
mean	statistic	0.07658154
observation	variable	-0.01528538
standarddeviation	standard error	0
different|far|variable	different	0.6180547
population	group	-0.02205705
multiple|many	[timeout]	0.05981871
involves|uses|includes|observes	includes	0.6147089
standarderror	standard error	0
subject|participant|participants	participants	0.3185288
population	population	1
variability	variability	1
standarddeviation	standard deviation	0
count	sum	-0.01366364
divided	divided	1
multiple|many	multiple	0.8556041
standarderror	standard error	0
observation	variable	-0.01528538
divided	divided	1
standarderror	standard error	0
count	count	1
observations	samples	0.04512589
population	populatiob	0
mean	variable	0.01982022
rootmeansquarederror	mean	0
variance	mean	0.01016356
population	population	1
range|set	amount	-0.06106847
range|set	range	0.7634179
statistic	observation	0.05970104
mean	mean standard error	0.5488186
range|set	range	0.7634179
standarddeviation	variance	0
expect	observe	0.07085706
range|set	range	0.7634179
population	populatiob	0
3	3	0
range|set	range	0.7634179
observations	observations	1
3	3	0
range|set	range	0.7634179
measure|represent|describe	observe	0.02930753
measure|represent|describe	measure	0.7689974
population	population	1
variance	mean	0.01016356
measure|represent|describe	measure	0.7689974
measure|represent|describe	measure	0.7689974
population	population	1
2	3	0
mean	mean	1
expect	expect	1
range|set	range	0.7634179
2	2	0
range|set	range	0.7634179
3	3	0
standarddeviation	variance	0
symmetric	3	0
describes|is|represents	observes	0.05259172
sample	observation	0.07037972
standarddeviation	standard deviation error	0
3	3	0
rootmeansquarederror	mean	0
2	2	0
mean|samplemean|average	variance	0.02989781
68	2	0
mean	mean	1
range|set	sample	0.1380402
difference	[timeout]	0.04116857
expect	observe	0.07085706
observations	[timeout]	-0.119301
population	population	1
same	mean	-0.037211
participated	participate	0.2836498
range|set	range	0.7634179
mean	mean	1
68	2	0
3	3	0
expect	expect	1
population	population	1
rootmeansquarederror	mean	0
dividing	dividing	1
participated	participate	0.2836498
2	2	0
standarddeviation	example	0
difference	root	0.01133235
range|set	range	0.7634179
symmetric	[timeout]	0.03159622
describes|is|represents	observes	0.05259172
density	difference	0.1479425
standarddeviation	standard deviation	0
observations	observations	1
divided	divided	1
standarddeviation	standard deviation error	0
divided	divided	1
normal	symmetric	-0.03673305
mean	mean	1
same	range	0.01560821
characteristic	characteristic	1
3	[timeout]	0
observations	observations	1
dividing	observing	0.03380399
probability|likelihood|chance	probability	0.6468432
expect	expect	1
2	[timeout]	0
rootmeansquarederror	mean root square error	0
symmetric	68	0
participated	participated	1
population	population	1
range|set	range	0.7634179
squared	symmetric	-0.05693283
statistic	[timeout]	-0.02000074
99.7	[timeout]	0
normal	[timeout]	-0.007178908
normal	normal	1
equal	[timeout]	-0.001709098
statistic	[timeout]	-0.02000074
describes|is|represents	shows	0.1450797
describes|is|represents	describes	0.7441715
1	5 5	0
statistic	statistic	1
difference	difference	1
68	99.7	0
same	measure	0.1640455
range	range	1
sample	1	0
range	measurement	0.0727431
normal	normal	1
normal	normal	1
measure|represent|describe	measure	0.7689974
difference	difference	1
normal	normal	1
variance	variance	1
standarddeviation	units	0
samplemean|mean	mean	1
normal	normal	1
sample	sample	1
68	68	0
units	units	1
difference	difference	1
difference	difference	1
dividing	[timeout]	-0.06684689
standarderror	[timeout]	0
samplemean|mean	mean	1
observations	variation	0.00726406
standarddeviation	standard deviation	0
dividing	dividing	1
range	deviation	0.1497238
statistic	[timeout]	-0.02000074
difference	root	0.01133235
standarderror	[timeout]	0
observations	observation	0.5227399
dividing	dividing	1
dividing	dividing	1
standarderror	standard error	0
probability|likelihood|chance	probability	0.6468432
sample	sample	1
dividing	dividing	1
represent|describe|sample	represent	0.5618359
probability|likelihood|chance	probability	0.6468432
observations	observation	0.5227399
dividing	dividing	1
difference	difference	1
represent|describe|sample	represent	0.5618359
range	range	1
samplemean|mean	mean	1
statistic	statistic	1
dividing	dividing	1
statistic	statistic	1
observations	observation	0.5227399
difference	difference	1
dividing	dividing	1
sample	sample	1
mean	mean	1
variability	standard deviation	-0.06004029
range	range	1
probability	variation	0.108145
sample	sample	1
range	range	1
individual|single	individual	0.8333944
units	unit	0.6995343
describes|is|represents	describes	0.7441715
sample	sample	1
variability	variability	1
range	range	1
distribution	distribution	1
count	[timeout]	0.03134056
variance	variance	1
probability|likelihood|chance	probability	0.6468432
represents|describes|shows	represents	0.4684053
variable|random	taken	-0.03537242
range	range	1
samples	samples	1
probability	variable	0.08606906
probability|likelihood|chance	probability	0.6468432
units	units	1
sum	average	0.09272732
represents|describes|shows	describes	0.5329534
likelihood|probability	likelihood	0.4928042
range	range	1
sample	[timeout]	0.01504148
describes|is|represents	describes	0.7441715
range	range	1
sample	sample	1
variability	variability	1
mean	mean	1
variance	variance	1
different|far|variable	probable	0.04188096
standarddeviation	variablitiy	0
range	range	1
variance	variance	1
probability	probablity	0
sum	sum	1
describes|is|represents	describes	0.7441715
standarddeviation	standard deviation	0
sample	sample	1
sample	sample	1
represents|describes|shows	describes	0.5329534
range|set	range	0.7634179
range	range	1
multiple|many	multiple	0.8556041
range	range	1
variability	difference	-0.02596842
mean	mean	1
mean	mean	1
probability|likelihood|chance	probability	0.6468432
population	sample	0.1951308
mean	[timeout]	-0.03138116
observations	[timeout]	-0.119301
variance	observance	-0.102108
2	[timeout]	0
1|one	[timeout]	0.00668314
variance	variance	1
squareroot	amount	0
variance	variance	1
observations	variance	0.07152727
variability	deviations	-0.1275385
equal	equal	1
variance	variance	1
1|one	1	0
normal	standard	0.02859854
sample	[timeout]	0.01504148
statistic	variable	0.1429316
variance	variance	1
variance	observance	-0.102108
observations	samples	0.04512589
sample	sample	1
variance	variance	1
observations	[timeout]	-0.119301
distribution	variance	0.1301108
involves|uses|includes|observes	sample	0.07324035
standarddeviation	[timeout]	0
squareroot	observance	0
statistic	variable	0.1429316
1|one	1	0
mean	standard deviation	0.1056104
describes|is|represents	variance	0.1397778
1|one	1	0
3	2	0
likelihood|probability	[timeout]	0.07016187
multiple|many	multiple	0.8556041
multiple|many	multiple	0.8556041
2	2	0
measure|represent|describe	measure	0.7689974
multiple|many	multiple	0.8556041
count	total	0.1454826
3	3	0
1|one	1	0
multiple|many	multiple	0.8556041
multiple|many	multiple	0.8556041
population	statistic	0.1401468
observation	[timeout]	-0.1081844
multiple|many	multiple	0.8556041
1|one	[timeout]	0.00668314
3	3	0
observation	observance	0.2039273
likelihood|probability	liklihood	0
range	range	1
1|one	1	0
count	count	1
measure|represent|describe	measure	0.7689974
observations	observations	1
population	population	1
observations	observations	1
observation	observation	1
multiple|many	multiple	0.8556041
observation	observation	1
distribution	[timeout]	-0.003612177
multiple|many	multiple	0.8556041
equal	[timeout]	-0.001709098
mean	observance	-0.01693198
1|one	1	0
describes|is|represents	mean	0.04477699
divided	divided	1
population	set	-0.005120893
observations	statistics	0.1044004
probability|likelihood|chance	probability	0.6468432
likelihood|probability	[timeout]	0.07016187
range	range	1
normal	standard	0.02859854
participated	participated	1
samplemean|mean	mean	1
mean	mean	1
standarderror	[timeout]	0
measure|represent|describe	measure	0.7689974
3	3	0
variance	mean	0.01016356
standarderror	standard error	0
measure|represent|describe	measure	0.7689974
participated	particiapted	0
observations	observances	0.01194928
observations	deviation	0.09633775
mean	mean	1
3	3	0
probability|likelihood|chance	probability	0.6468432
statistic	statistic	1
1|one	1	0
range	range	1
range	range	1
represents|describes|shows	shows	0.8075404
variance	variance	1
mean	mean	1
equal	equal	1
population	population	1
mean|samplemean|average	mean	0.6045831
population	population	1
equal	equal	1
describes|is|represents	observance	0.01081353
measure|represent|describe	describe	0.5806054
participated	participated	1
mean	mean	1
distribution	statistic	0.05095213
observations	observances	0.01194928
individual|single	much	-0.03224945
1|one	1	0
divided	divided	1
represents|describes|shows	describes	0.5329534
3	3	0
mean	mean	1
range|set	set	0.6705973
normal	standard	0.02859854
variance	[timeout]	-0.03662752
95	68	0
symmetric	2	0
symmetric	symetric	0
range	standard	0.1185603
1|one	[timeout]	0.00668314
characteristic	observation	0.0789936
different|far|variable	differences	0.2084364
dividing	dividing	1
variance	range	0.006271204
expect	measure	-0.01068558
squareroot	range	0
measure|represent|describe	measure	0.7689974
difference	root	0.01133235
range	range	1
probability	percentage	0.1143953
symmetric	symetric	0
dividing	dividing	1
variable|random	different	0.0874528
describes|is|represents	represents	0.6913312
dividing	dividing	1
samplemean|mean	probability	0.05055491
statistic	item	-0.00751513
different|far|variable	different	0.6180547
sample	range	0.1368643
standarddeviation	varability	0
variance	sample mean	0.221544
